Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
2,6,5,868,3600
2,6,6,869,3600
2,6,7,870,3600
2,6,8,871,3600
2,6,9,872,3600
2,6,10,873,3600
2,6,11,874,3600
2,6,12,875,3600
2,6,13,876,3600
2,6,14,877,3600
2,6,15,878,3600
2,6,16,879,3600
2,6,17,880,3600
2,6,18,881,3600
2,6,19,882,3600
2,6,20,883,3600
2,6,21,884,3600
2,6,22,885,3600
2,6,23,886,3600
2,6,24,887,3600
2,7,1,888,3600
2,7,2,889,3600
2,7,3,890,3600
2,7,4,891,3600
2,7,5,892,3600
2,7,6,893,3600
2,7,7,894,3600
2,7,8,895,3600
2,7,9,896,3600
2,7,10,897,3600
2,7,11,898,3600
2,7,12,899,3600
2,7,13,900,3600
2,7,14,901,3600
2,7,15,902,3600
2,7,16,903,3600
2,7,17,904,3600
2,7,18,905,3600
2,7,19,906,3600
2,7,20,907,3600
2,7,21,908,3600
2,7,22,909,3600
2,7,23,910,3600
2,7,24,911,3600
2,8,1,912,3600
2,8,2,913,3600
2,8,3,914,3600
2,8,4,915,3600
2,8,5,916,3600
2,8,6,917,3600
2,8,7,918,3600
2,8,8,919,3600
2,8,9,920,3600
2,8,10,921,3600
2,8,11,922,3600
2,8,12,923,3600
2,8,13,924,3600
2,8,14,925,3600
2,8,15,926,3600
2,8,16,927,3600
2,8,17,928,3600
2,8,18,929,3600
2,8,19,930,3600
2,8,20,931,3600
2,8,21,932,3600
2,8,22,933,3600
2,8,23,934,3600
2,8,24,935,3600
2,9,1,936,3600
2,9,2,937,3600
2,9,3,938,3600
2,9,4,939,3600
2,9,5,940,3600
2,9,6,941,3600
2,9,7,942,3600
2,9,8,943,3600
2,9,9,944,3600
2,9,10,945,3600
2,9,11,946,3600
2,9,12,947,3600
2,9,13,948,3600
2,9,14,949,3600
2,9,15,950,3600
2,9,16,951,3600
2,9,17,952,3600
2,9,18,953,3600
2,9,19,954,3600
2,9,20,955,3600
2,9,21,956,3600
2,9,22,957,3600
2,9,23,958,3600
2,9,24,959,3600
2,10,1,960,3600
2,10,2,961,3600
2,10,3,962,3600
2,10,4,963,3600
2,10,5,964,3600
2,10,6,965,3600
2,10,7,966,3600
2,10,8,967,3600
2,10,9,968,3600
2,10,10,969,3600
2,10,11,970,3600
2,10,12,971,3600
2,10,13,972,3600
2,10,14,973,3600
2,10,15,974,3600
2,10,16,975,3600
2,10,17,976,3600
2,10,18,977,3600
2,10,19,978,3600
2,10,20,979,3600
2,10,21,980,3600
2,10,22,981,3600
2,10,23,982,3600
2,10,24,983,3600
2,11,1,984,3600
2,11,2,985,3600
2,11,3,986,3600
