Time (hr),Time (month),Tb (C),GHE ExFT (C)
500,0.672043011,2.314706766,-2.019768886
501,0.673387097,2.312488965,-2.021942869
502,0.674731183,2.310275649,-2.024112457
503,0.676075269,2.308066797,-2.026277668
504,0.677419355,2.305862394,-2.028438519
505,0.678763441,2.30366242,-2.030595027
506,0.680107527,2.301466859,-2.03274721
507,0.681451613,2.299275692,-2.034895086
508,0.682795699,2.297088903,-2.03703867
509,0.684139785,2.294906473,-2.039177982
510,0.685483871,2.292728386,-2.041313036
511,0.686827957,2.290554625,-2.04344385
512,0.688172043,2.288385171,-2.045570441
513,0.689516129,2.286220009,-2.047692826
514,0.690860215,2.284065373,-2.049804893
515,0.692204301,2.281920614,-2.051907278
516,0.693548387,2.279779977,-2.054005622
517,0.694892473,2.277643482,-2.056099906
518,0.696236559,2.275511131,-2.058190128
519,0.697580645,2.273382918,-2.060276294
520,0.698924731,2.271258832,-2.062358414
521,0.700268817,2.269138861,-2.0644365
522,0.701612903,2.267022992,-2.066510565
523,0.702956989,2.264911211,-2.068580623
524,0.704301075,2.262803505,-2.070646688
525,0.705645161,2.260699858,-2.072708772
526,0.706989247,2.258600257,-2.074766891
527,0.708333333,2.256504687,-2.076821059
528,0.709677419,2.254413133,-2.07887129
529,0.711021505,2.252325581,-2.080917598
530,0.712365591,2.250242017,-2.082959996
531,0.713709677,2.248162427,-2.0849985
532,0.715053763,2.246086796,-2.087033122
533,0.716397849,2.244015109,-2.089063879
534,0.717741935,2.241947352,-2.091090783
535,0.719086022,2.23988351,-2.093113848
536,0.720430108,2.23782357,-2.095133091
537,0.721774194,2.235767516,-2.097148523
538,0.72311828,2.233715333,-2.09916016
539,0.724462366,2.231667009,-2.101168015
540,0.725806452,2.229622528,-2.103172103
541,0.727150538,2.227581877,-2.105172437
542,0.728494624,2.22554504,-2.107169031
543,0.72983871,2.223512006,-2.109161899
544,0.731182796,2.221482758,-2.111151055
545,0.732526882,2.219457284,-2.113136512
546,0.733870968,2.217435569,-2.115118283
547,0.735215054,2.2154176,-2.117096383
548,0.73655914,2.213403363,-2.119070824
549,0.737903226,2.211392845,-2.12104162
550,0.739247312,2.209386032,-2.123008785
551,0.740591398,2.20738291,-2.124972331
552,0.741935484,2.205383466,-2.126932271
553,0.74327957,2.203387687,-2.128888619
554,0.744623656,2.201395559,-2.130841388
555,0.745967742,2.199407069,-2.132790591
556,0.747311828,2.197422205,-2.13473624
557,0.748655914,2.195440953,-2.136678349
558,0.75,2.193463299,-2.13861693
559,0.751344086,2.191489232,-2.140551995
560,0.752688172,2.189518738,-2.142483558
561,0.754032258,2.187551804,-2.144411631
562,0.755376344,2.185588418,-2.146336226
563,0.75672043,2.183628566,-2.148257356
564,0.758064516,2.181672238,-2.150175033
565,0.759408602,2.179719419,-2.15208927
566,0.760752688,2.177770097,-2.154000079
567,0.762096774,2.175824261,-2.155907471
568,0.76344086,2.173881897,-2.157811459
569,0.764784946,2.171942993,-2.159712056
570,0.766129032,2.170007538,-2.161609272
571,0.767473118,2.168075518,-2.16350312
572,0.768817204,2.166146923,-2.165393612
573,0.77016129,2.164221739,-2.16728076
574,0.771505376,2.162299955,-2.169164575
575,0.772849462,2.160381559,-2.171045069
576,0.774193548,2.15846654,-2.172922253
577,0.775537634,2.156554884,-2.17479614
578,0.77688172,2.15464658,-2.176666742
579,0.778225806,2.152741616,-2.178534069
580,0.779569892,2.150839981,-2.180398133
581,0.780913978,2.148941663,-2.182258946
582,0.782258065,2.14704665,-2.184116518
583,0.783602151,2.145154933,-2.185970861
584,0.784946237,2.143266499,-2.187821985
585,0.786290323,2.141381337,-2.189669901
586,0.787634409,2.139499437,-2.19151462
587,0.788978495,2.137620787,-2.193356154
588,0.790322581,2.135745376,-2.195194512
589,0.791666667,2.133873192,-2.197029707
590,0.793010753,2.132004225,-2.198861748
591,0.794354839,2.130138465,-2.200690647
592,0.795698925,2.128275899,-2.202516414
593,0.797043011,2.126416517,-2.20433906
594,0.798387097,2.124560308,-2.206158595
595,0.799731183,2.122707262,-2.20797503
596,0.801075269,2.120857368,-2.209788376
597,0.802419355,2.119010614,-2.211598643
598,0.803763441,2.117166992,-2.21340584
599,0.805107527,2.115326489,-2.21520998
600,0.806451613,2.113489096,-2.217011071
601,0.807795699,2.111654802,-2.218809125
602,0.809139785,2.109823597,-2.22060415
603,0.810483871,2.107995471,-2.222396159
604,0.811827957,2.106170412,-2.224185159
605,0.813172043,2.104348412,-2.225971162
606,0.814516129,2.102529459,-2.227754178
607,0.815860215,2.100713544,-2.229534215
608,0.817204301,2.098900656,-2.231311286
609,0.818548387,2.097090786,-2.233085398
610,0.819892473,2.095283924,-2.234856562
611,0.821236559,2.093480059,-2.236624787
612,0.822580645,2.091679182,-2.238390084
613,0.823924731,2.089881283,-2.240152462
614,0.825268817,2.088086352,-2.24191193
615,0.826612903,2.08629438,-2.243668498
616,0.827956989,2.084505357,-2.245422175
617,0.829301075,2.082719272,-2.247172972
618,0.830645161,2.080936117,-2.248920897
619,0.831989247,2.079155882,-2.250665959
620,0.833333333,2.077378558,-2.252408169
621,0.834677419,2.075604135,-2.254147534
622,0.836021505,2.073832603,-2.255884066
623,0.837365591,2.072063954,-2.257617771
624,0.838709677,2.070298178,-2.259348661
625,0.840053763,2.068535265,-2.261076744
626,0.841397849,2.066775207,-2.262802028
627,0.842741935,2.065017994,-2.264524523
628,0.844086022,2.063263618,-2.266244238
629,0.845430108,2.061512068,-2.267961182
630,0.846774194,2.059763337,-2.269675363
631,0.84811828,2.058017415,-2.271386791
632,0.849462366,2.056274293,-2.273095474
633,0.850806452,2.054533961,-2.274801422
634,0.852150538,2.052796413,-2.276504641
635,0.853494624,2.051061637,-2.278205142
636,0.85483871,2.049329627,-2.279902933
637,0.856182796,2.047600372,-2.281598023
638,0.857526882,2.045873865,-2.28329042
639,0.858870968,2.044150096,-2.284980132
640,0.860215054,2.042429057,-2.286667168
641,0.86155914,2.040710739,-2.288351537
642,0.862903226,2.038995134,-2.290033246
643,0.864247312,2.037282233,-2.291712305
644,0.865591398,2.035572029,-2.293388721
645,0.866935484,2.033864511,-2.295062503
646,0.86827957,2.032159673,-2.296733658
647,0.869623656,2.030457505,-2.298402196
648,0.870967742,2.028758,-2.300068124
649,0.872311828,2.027061148,-2.301731451
650,0.873655914,2.025366943,-2.303392184
651,0.875,2.023675375,-2.305050331
652,0.876344086,2.021986436,-2.306705901
653,0.877688172,2.020300119,-2.308358901
654,0.879032258,2.018616415,-2.31000934
655,0.880376344,2.016935317,-2.311657225
656,0.88172043,2.015256816,-2.313302564
657,0.883064516,2.013580904,-2.314945365
658,0.884408602,2.011907573,-2.316585635
659,0.885752688,2.010236816,-2.318223383
660,0.887096774,2.008568624,-2.319858616
661,0.88844086,2.00690299,-2.321491342
662,0.889784946,2.005239906,-2.323121568
663,0.891129032,2.003579364,-2.324749302
664,0.892473118,2.001921357,-2.326374552
665,0.893817204,2.000265876,-2.327997325
666,0.89516129,1.998612915,-2.329617629
